area,region,positive,positiveJH,deaths,deathsJH,pop,cdr,cdrJH
Republic of Moldova,Eastern Europe,0,,0,,4034000,0,
Russian Federation,Eastern Europe,0,,0,,145934000,0,
Réunion,Eastern Africa,0,,0,,895000,0,
Saint Barthélemy,Caribbean,0,,0,,10000,0,
Saint Helena,Western Africa,0,,0,,6000,0,
Saint Martin (French part),Caribbean,0,,0,,39000,0,
Saint Pierre and Miquelon,NORTHERN AMERICA,0,,0,,6000,0,
Samoa,Polynesia,0,,0,,198000,0,
Sint Maarten (Dutch part),Caribbean,0,,0,,43000,0,
Solomon Islands,Melanesia,0,,0,,687000,0,
State of Palestine,Western Asia,0,,0,,5101000,0,
Syrian Arab Republic,Western Asia,0,,0,,17501000,0,
Tokelau,Polynesia,0,,0,,1000,0,
Tonga,Polynesia,0,,0,,106000,0,
Turkmenistan,Central Asia,0,,0,,6031000,0,
Turks and Caicos Islands,Caribbean,0,,0,,39000,0,
Tuvalu,Polynesia,0,,0,,12000,0,
United Republic of Tanzania,Eastern Africa,0,,0,,59734000,0,
United States Virgin Islands,Caribbean,0,,0,,104000,0,
United States of America,NORTHERN AMERICA,0,,0,,331003000,0,
Vanuatu,Melanesia,0,,0,,307000,0,
Venezuela (Bolivarian Republic of),South America,0,,0,,28436000,0,
Viet Nam,South-Eastern Asia,0,,0,,97339000,0,
Wallis and Futuna Islands,Polynesia,0,,0,,11000,0,
